	0
2111	14823
2112	14837
2113	14838
2114	14844
2115	14851
2116	14856
2117	14862
2118	14866
2119	14867
2120	14916
2121	14922
2122	14926
2123	14927
2124	14951
2125	14952
2126	14962
2127	15004
2128	15006
2129	15007
2130	15009
2131	15014
2132	15025
2133	15031
2134	15038
2135	15054
2136	15055
2137	15077
2138	15154
2139	15239
2140	15261
2141	15263
2142	15268
2143	15271
2144	15280
2145	15283
2146	15302
2147	15308
2148	15309
2149	15310
2150	15326
2151	15328
2152	15330
2153	15340
2154	15348
2155	15351
2156	15379
2157	15381
2158	15384
2159	15397
2160	15399
2161	15409
2162	15412
2163	15413
2164	15423
2165	15431
2166	15434
2167	15437
2168	15444
2169	15447
2170	15449
2171	15453
2172	15454
2173	15457
2174	15468
2175	15503
2176	15509
2177	15514
2178	15518
2179	15524
2180	15549
2181	15550
2182	15580
2183	15587
2184	15595
2185	15628
2186	15633
2187	15636
2188	15639
2189	15653
2190	15654
2191	15655
2192	15673
2193	15674
2194	15683
2195	15684
2196	15687
2197	15690
2198	15693
2199	15695
2200	15701
2201	15704
2202	15719
2203	15721
2204	15734
2205	15738
2206	15740
2207	15741
2208	15742
2209	15743
2210	15747
2211	15748
2212	15749
2213	15759
2214	15782
2215	15792
2216	15795
2217	15798
2218	15800
2219	15802
2220	15813
2221	15833
2222	15835
2223	15836
2224	15849
2225	15850
2226	15851
2227	15853
2228	15869
2229	15870
2230	15873
2231	15878
2232	15896
2233	15903
2234	15909
2235	15919
2236	15923
2237	15926
2238	15932
2239	15933
2240	15949
2241	15954
2242	15975
2243	15983
2244	15986
2245	15996
2246	16001
2247	16007
2248	16021
2249	16023
2250	16059
2251	16072
2252	16077
2253	16078
2254	16091
2255	16101
2256	16104
2257	16105
2258	16136
2259	16148
2260	16156
2261	16158
2262	16160
2263	16163
2264	16164
2265	16171
2266	16181
2267	16188
2268	16194
2269	16220
2270	16270
2271	16272
2272	16276
2273	16300
2274	16309
2275	16316
2276	16324
2277	16331
2278	16337
2279	16346
2280	16356
2281	16360
2282	16361
2283	16364
2284	16369
2285	16380
2286	16383
2287	16394
2288	16400
2289	16401
2290	16408
2291	16414
2292	16439
2293	16444
2294	16447
2295	16469
2296	16482
2297	16484
2298	16486
2299	16496
2300	16508
2301	16526
2302	16533
2303	16534
2304	16535
2305	16546
2306	16553
2307	16554
2308	16560
2309	16574
2310	16577
2311	16578
2312	16579
2313	16584
2314	16599
2315	16602
2316	16604
2317	16612
2318	16621
2319	16627
2320	16629
2321	16636
2322	16638
2323	16652
2324	16653
2325	16657
2326	16659
2327	16665
2328	16668
2329	16677
2330	16679
2331	16682
2332	16683
2333	16685
2334	16687
2335	16688
2336	16689
2337	16693
2338	16698
2339	16705
2340	16728
2341	16746
2342	16760
2343	16761
2344	16762
2345	16765
2346	16766
2347	16768
2348	16771
2349	16773
2350	16774
2351	16777
2352	16782
2353	16794
2354	16805
2355	16808
2356	16812
2357	16824
2358	16827
2359	16829
2360	16835
2361	16838
2362	16843
2363	16849
2364	16850
2365	16851
2366	16853
2367	16855
2368	16857
2369	16916
2370	16947
2371	16951
2372	16952
2373	16958
2374	16961
2375	16963
